{:beat=>60.001686, :phase=>0.001742, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127115.7421875, :beat_zero=>127085.7421875}
{:beat=>61.001696, :phase=>1.001766, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127116.25, :beat_zero=>127085.7421875}
{:beat=>62.002238, :phase=>2.002286, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127116.75, :beat_zero=>127085.7421875}
{:beat=>63.000876, :phase=>3.001136, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127117.25, :beat_zero=>127085.7421875}
{:beat=>64.001744, :phase=>0.001798, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127117.75, :beat_zero=>127085.7421875}
{:beat=>65.001764, :phase=>1.001818, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127118.2421875, :beat_zero=>127085.7421875}
{:beat=>66.002954, :phase=>2.003006, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127118.7421875, :beat_zero=>127085.7421875}
{:beat=>67.001228, :phase=>3.001254, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127119.2421875, :beat_zero=>127085.7421875}
{:beat=>68.00268, :phase=>0.002748, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127119.7421875, :beat_zero=>127085.7421875}
{:beat=>69.003454, :phase=>1.003816, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127120.2421875, :beat_zero=>127085.7421875}
{:beat=>70.002556, :phase=>2.002608, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127120.7421875, :beat_zero=>127085.7421875}
{:beat=>71.00158, :phase=>3.001624, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127121.2421875, :beat_zero=>127085.7421875}
{:beat=>72.004298, :phase=>0.004392, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127121.7421875, :beat_zero=>127085.7421875}
{:beat=>73.00266, :phase=>1.002706, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127122.2421875, :beat_zero=>127085.7421875}
{:beat=>74.002852, :phase=>2.002902, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127122.7421875, :beat_zero=>127085.7421875}
{:beat=>75.000576, :phase=>3.00062, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127123.2421875, :beat_zero=>127085.7421875}
{:beat=>76.001322, :phase=>0.00136, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127123.7421875, :beat_zero=>127085.7421875}
{:beat=>77.001708, :phase=>1.0025, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127124.2421875, :beat_zero=>127085.7421875}
{:beat=>78.004148, :phase=>2.004192, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127124.7421875, :beat_zero=>127085.7421875}
{:beat=>79.000458, :phase=>3.000504, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127125.2421875, :beat_zero=>127085.7421875}
{:beat=>80.004362, :phase=>0.004414, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127125.7421875, :beat_zero=>127085.7421875}
{:beat=>81.002116, :phase=>1.00217, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127126.2421875, :beat_zero=>127085.7421875}
{:beat=>82.000944, :phase=>2.000998, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127126.7421875, :beat_zero=>127085.7421875}
{:beat=>83.001116, :phase=>3.001158, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127127.2421875, :beat_zero=>127085.7421875}
{:beat=>84.000724, :phase=>0.00078, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127127.7421875, :beat_zero=>127085.7421875}
{:beat=>85.002122, :phase=>1.002282, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127128.2421875, :beat_zero=>127085.7421875}
{:beat=>86.002466, :phase=>2.002534, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127128.7421875, :beat_zero=>127085.7421875}
{:beat=>87.003758, :phase=>3.003798, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127129.25, :beat_zero=>127085.7421875}
{:beat=>88.001594, :phase=>0.001654, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127129.7421875, :beat_zero=>127085.7421875}
{:beat=>89.002678, :phase=>1.002736, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127130.25, :beat_zero=>127085.7421875}
{:beat=>90.003706, :phase=>2.003764, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127130.75, :beat_zero=>127085.7421875}
{:beat=>91.002148, :phase=>3.00219, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127131.25, :beat_zero=>127085.7421875}
{:beat=>92.000802, :phase=>0.000856, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127131.75, :beat_zero=>127085.7421875}
{:beat=>93.0012, :phase=>1.00127, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127132.2421875, :beat_zero=>127085.7421875}
{:beat=>94.002164, :phase=>2.002218, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127132.7421875, :beat_zero=>127085.7421875}
{:beat=>95.001962, :phase=>3.002004, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127133.2421875, :beat_zero=>127085.7421875}
{:beat=>96.001924, :phase=>0.001966, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127133.7421875, :beat_zero=>127085.7421875}
{:beat=>97.00085, :phase=>1.000886, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127134.2421875, :beat_zero=>127085.7421875}
{:beat=>98.008248, :phase=>2.008312, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127134.7421875, :beat_zero=>127085.7421875}
{:beat=>99.001102, :phase=>3.001138, :playing?=>false, :tempo=>120.0, :peers=>3, :now=>127135.2421875, :beat_zero=>127085.7421875}
